statistics,f_21_001,f_21_0001,f_21_00001,f_21_001_startvalue,f_21_0001_startvalue,f_21_00001_startvalue,f_49_001,f_49_0001,f_49_00001,f_49_001_startvalue,f_49_0001_startvalue,f_49_00001_startvalue,c_21_001,c_21_0001,c_21_00001,c_49_001,c_49_0001,c_49_00001,m_21_001,m_21_0001,m_21_00001,m_49_001,m_49_0001,m_49_00001
242_3127,1.5891647,1.6430546,1.6430546,1.7092845,1.7095684,1.7096863,1.5869466,1.6958148,1.697168,1.7026174,1.7002641,1.6986881,1.70962636,1.709747972,1.70975845,1.710241918,1.710500389,1.710507044,1.7095,1.7097,1.7098,1.7103,1.7105,1.7105
10222_21630,0.8526888,0.8484463,0.8484463,0.8502601,0.850449,0.8504581,0.852337,0.8481978,0.849056,0.8494809,0.8493192,0.8491608,0.850325067,0.850454312,0.850463114,0.849874963,0.850095364,0.850103443,0.85025,0.85045,0.85046,0.8499,0.8501,0.8501
242_1792,0.3450388,0.314953,0.314953,0.2444755,0.2444588,0.2444647,0.3455298,0.2499256,0.244392,0.2444552,0.2444497,0.2444585,0.244512462,0.244509254,0.244510962,0.244455009,0.244433031,0.244434671,0.24453,0.24451,0.24451,0.24445,0.24443,0.24443
242_1098,0.6073444,0.5761962,0.5761962,0.5105528,0.5107221,0.5107318,0.6078529,0.5127784,0.510423,0.5106012,0.510657,0.5105743,0.510612627,0.510723693,0.510731664,0.510648345,0.510870747,0.510880691,0.51055,0.51072,0.51073,0.51067,0.51087,0.51088
242_1704,4.3127636,4.3134668,4.3134668,4.7393544,4.7547791,4.7776658,4.0902294,4.0920904,4.092422,4.092492,4.0924958,4.0924861,5.000000101,5.000000101,5.000000101,5.000000101,5.000000101,5.000000101,5,5,5,5,5,5
242_2043,0.3529349,0.3112048,0.3112048,0.1523352,0.152618,0.1529986,0.3535697,0.1955352,0.157616,0.1552901,0.155328,0.155348,0.155675154,0.155640726,0.155645918,0.155291029,0.155311141,0.155316413,0.15561,0.15564,0.15565,0.15528,0.15531,0.15532
20201_4766,0.3014559,0.2679118,0.2679118,0.163056,0.1631944,0.1634332,0.3022615,0.184169,0.165924,0.1654979,0.1655523,0.1655862,0.16525094,0.165177861,0.165175796,0.16546405,0.16548799,0.16549018,0.1652,0.16518,0.16518,0.16546,0.16549,0.16549
100180_18,1.6915923,1.7083829,1.7083829,1.7252997,1.7253177,1.7253463,1.6879329,1.7157953,1.716301,1.7179966,1.7169489,1.7165502,1.725648651,1.725473263,1.725451589,1.724486506,1.72442244,1.724396223,1.7256,1.7255,1.7255,1.7245,1.7244,1.7244
100180_25,0.999872,0.9997903,0.9997903,0.9999898,1.0001096,1.0001072,0.9997503,0.9997227,0.99987,0.9999183,0.9999448,0.9998964,0.99998506,1.000091779,1.00010263,0.999801745,0.999947435,0.999959571,0.99996,1.0001,1.0001,0.99981,0.99995,0.99996
10104_41767,0.526941,0.495195,0.495195,0.4293986,0.4294599,0.4294601,0.5275487,0.4318613,0.429515,0.4295979,0.4296278,0.4295919,0.429425425,0.429461504,0.429464129,0.429599879,0.429689706,0.42969413,0.4294,0.42946,0.42946,0.42961,0.42969,0.42969
242_1928,0.7802981,0.7776229,0.7776229,0.7788065,0.7788667,0.7788672,0.7805899,0.7785094,0.778824,0.7789378,0.7788788,0.7788371,0.778845711,0.778872917,0.778873395,0.779172905,0.779279387,0.779282123,0.77881,0.77887,0.77887,0.77918,0.77928,0.77928
242_2748,0.1942074,0,0,0,0,0,0.200047,0.0925101,0.056154,0.0441961,0.04148,0.0403623,0.0443749,0.041859848,0.041415049,0.044587145,0.042158385,0.041690035,0.044307,0.04187,0.041412,0.044441,0.042153,0.041691
242_2731,0.7785158,0.7632096,0.7632096,0.7423142,0.7424082,0.742409,0.7786738,0.7420587,0.742296,0.7421901,0.7422599,0.7422338,0.742365945,0.742409647,0.742411771,0.742133826,0.742280645,0.742287041,0.74232,0.74241,0.74241,0.74215,0.74228,0.74229
